restaurante,gastronomia,precio,opinion,rese√±a,url
The Spanish Farm,Española€€ - €€€,Medio,507 opiniones,Extraordinario,https://www.tripadvisor.es/Restaurant_Review-g187514-d10077266-Reviews-The_Spanish_Farm-Madrid.html
Dolores y Lola,Mediterránea,Medio,268 opiniones,Excelente restaurante en Malasaña,https://www.tripadvisor.es/Restaurant_Review-g187514-d9593554-Reviews-Dolores_y_Lola-Madrid.html
Trattoria Popolare Fratelli Figurato,Italiana,Medio,149 opiniones,La mejor pizza que he comido en Madrid.,https://www.tripadvisor.es/Restaurant_Review-g187514-d17604711-Reviews-Trattoria_Popolare_Fratelli_Figurato-Madrid.html
Aboca Restobar,Italiana,Bajo,87 opiniones,Es mi primera vez en Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d10227497-Reviews-Aboca_Restobar-Madrid.html
Brew Wild Pizza Bar,Bares y pubs,Medio,382 opiniones,#From🇨🇷W/love🖤,https://www.tripadvisor.es/Restaurant_Review-g187514-d12493147-Reviews-Brew_Wild_Pizza_Bar-Madrid.html
Palki Indian Restaurant,India€€ - €€€Carta,Medio,33 opiniones,Opípara comida hindú de calidad,https://www.tripadvisor.es/Restaurant_Review-g187514-d21137957-Reviews-Palki_Indian_Restaurant-Madrid.html
Ponja Nikkei,Japonesa,Alto,91 opinionesCierra en 11 minutos,Mejor japonés que he probado.,https://www.tripadvisor.es/Restaurant_Review-g187514-d23193806-Reviews-Ponja_Nikkei-Madrid.html
El miniBAR,Bares y pubs,Bajo,2560 opiniones,Un sitio estupendo.,https://www.tripadvisor.es/Restaurant_Review-g187514-d3688138-Reviews-El_miniBAR-Madrid.html
Murillo Café - Restaurante,Mediterránea,Medio,1000 opiniones,Muy bien!,https://www.tripadvisor.es/Restaurant_Review-g187514-d2403630-Reviews-Murillo_Cafe_Restaurante-Madrid.html
Mano De Santa,Internacional,Alto,178 opiniones,Excelente,https://www.tripadvisor.es/Restaurant_Review-g187514-d23391409-Reviews-Mano_De_Santa-Madrid.html
La Taberna de Mister Pinkleton,Bar,Medio,886 opiniones,Encantada,https://www.tripadvisor.es/Restaurant_Review-g187514-d3847118-Reviews-La_Taberna_de_Mister_Pinkleton-Madrid.html
Il Boccone,Italiana,Medio,179 opinionesCierra en 11 minutos,"Buen trato, buena comida",https://www.tripadvisor.es/Restaurant_Review-g187514-d10505188-Reviews-Il_Boccone-Madrid.html
Grosso Napoletano,Italiana,Medio,383 opiniones,Buena pizza,https://www.tripadvisor.es/Restaurant_Review-g187514-d13004658-Reviews-Grosso_Napoletano-Madrid.html
Grosso Napoletano,Italiana,Medio,383 opiniones,Buena pizza,https://www.tripadvisor.es/Restaurant_Review-g187514-d15265582-Reviews-Grosso_Napoletano-Madrid.html
Dog & Fox Urban Kitchen,Mexicana,Medio,42 opinionesCierra en 11 minutos,Comida auténtica americana en pleno barrio de Argüelles,https://www.tripadvisor.es/Restaurant_Review-g187514-d15212060-Reviews-Dog_Fox_Urban_Kitchen-Madrid.html
La Taberna De Moncloa,Bar,Bajo,356 opiniones,Buen sitio,https://www.tripadvisor.es/Restaurant_Review-g187514-d5489503-Reviews-La_Taberna_De_Moncloa-Madrid.html
La Sifonería,Mediterránea,Medio,473 opiniones,Muy recomendable! Carpaccio de pez mantequilla,https://www.tripadvisor.es/Restaurant_Review-g187514-d8808803-Reviews-La_Sifoneria-Madrid.html
O`pulpo,Marisco,Medio,353 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d990889-Reviews-O_pulpo-Madrid.html
Gandarío,Comida rápida,Bajo,573 opiniones,Consumición + tapa rica,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html
Celicioso by Only YOU Hotels,Café y té,Medio,499 opiniones,Desayuno libre de gluten,https://www.tripadvisor.es/Restaurant_Review-g187514-d10310711-Reviews-Celicioso_by_Only_YOU_Hotels-Madrid.html
Restaurante El Abuelito,Restaurante de carne,Medio,88 opiniones,9.9 km,https://www.tripadvisor.es/Restaurant_Review-g580334-d17728022-Reviews-Restaurante_El_Abuelito-Pozuelo_de_Alarcon.html
Totò E Peppino,Italiana,Medio,315 opinionesCierra en 8 minutos,Buena atención y comida rica,https://www.tripadvisor.es/Restaurant_Review-g187514-d1998443-Reviews-Toto_E_Peppino-Madrid.html
Jauja Café,Mediterránea,Medio,127 opiniones,Restaurante discreto con platos ricos a buen precio.,https://www.tripadvisor.es/Restaurant_Review-g187514-d14763413-Reviews-Jauja_Cafe-Madrid.html
Tsukuri Soba,China,Medio,37 opiniones,Gyozas espectaculares,https://www.tripadvisor.es/Restaurant_Review-g187514-d22939261-Reviews-Tsukuri_Soba-Madrid.html
Manzoni Trattoria,Italiana,Medio,175 opiniones,"La Trattoria Manzoni, uno de los italianos imprescindibles en Madrid, cambia de ubicación…",https://www.tripadvisor.es/Restaurant_Review-g187514-d4554436-Reviews-Manzoni_Trattoria-Madrid.html
Asador Nuevo Porche,Restaurante de carne,Medio,331 opiniones,El mejor cochinillo,https://www.tripadvisor.es/Restaurant_Review-g187514-d2252177-Reviews-Asador_Nuevo_Porche-Madrid.html
Il Cratere del Gusto,Italiana,Medio,185 opiniones,Pequeñito pero coqueto,https://www.tripadvisor.es/Restaurant_Review-g187514-d2224051-Reviews-Il_Cratere_del_Gusto-Madrid.html
Restaurante Justo a tu Gusto,Brasileña,Medio,211 opiniones,14.6 km,https://www.tripadvisor.es/Restaurant_Review-g562645-d10219927-Reviews-Justo_a_tu_Gusto-Alcobendas.html
Asian Army,Asiática,Medio,53 opiniones,Delicioso,https://www.tripadvisor.es/Restaurant_Review-g187514-d19061027-Reviews-Asian_Army-Madrid.html
Almalibre Açaí House Madrid,Café,Medio,151 opiniones,Brunch increíble,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House_Madrid-Madrid.html
Sr. Ito Lab,Japonesa,Medio,231 opiniones,Totalmente recomendable. Excelente en todos los sentidos,https://www.tripadvisor.es/Restaurant_Review-g187514-d13504426-Reviews-Sr_Ito_Lab-Madrid.html
Mafrens Healthy Food,Café y té,Medio,49 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d17811500-Reviews-Mafrens_Healthy_Food-Madrid.html
Cervecería La Mayor,Bar,Medio,438 opiniones,Gran variedad de cervezas,https://www.tripadvisor.es/Restaurant_Review-g187514-d1811145-Reviews-Cerveceria_La_Mayor-Madrid.html
Trinakria,Italiana,Bajo,24 opiniones,La migliore pizzeria di Madrid ❤️,https://www.tripadvisor.es/Restaurant_Review-g187514-d17912412-Reviews-Trinakria-Madrid.html
Don Giovanni,Italiana,Medio,1005 opinionesCierra en 8 minutos,Delicioso,https://www.tripadvisor.es/Restaurant_Review-g187514-d3355774-Reviews-Don_Giovanni-Madrid.html
Osteria Bravissimo,Francesa,Alto,61 opiniones,Una agradable sorpresa.,https://www.tripadvisor.es/Restaurant_Review-g187514-d24902091-Reviews-Osteria_Bravissimo-Madrid.html
La Pulpería De Victoria,Marisco,Medio,1314 opiniones,Cerca de sol. Recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d3134558-Reviews-La_Pulperia_de_Victoria-Madrid.html
DokiDOki,Japonesa,Medio,908 opinionesCierra en 8 minutos,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d7125336-Reviews-DokiDoki-Madrid.html
Alcaravea,Mediterránea,Medio,523 opiniones,Cena con amigos,https://www.tripadvisor.es/Restaurant_Review-g187514-d2403049-Reviews-Alcaravea-Madrid.html
Lamucca de Almagro,Internacional,Medio,953 opiniones,Para disfrutar con amigos,https://www.tripadvisor.es/Restaurant_Review-g187514-d9740197-Reviews-Lamucca_de_Almagro-Madrid.html
Matador,Bar,Bajo,231 opiniones,Sabor de Marruecos en València,https://www.tripadvisor.es/Restaurant_Review-g187514-d990964-Reviews-Matador-Madrid.html
La Bajada Street Food,Peruana,Medio,408 opiniones,Atención estupenda,https://www.tripadvisor.es/Restaurant_Review-g187514-d23999961-Reviews-La_Bajada_Street_Food-Madrid.html
Pomodoro e Basilico,Italiana,Medio,21 opiniones,Cena improvisada,https://www.tripadvisor.es/Restaurant_Review-g187514-d12143019-Reviews-Pomodoro_e_Basilico-Madrid.html
Gagos pizza,Italiana,Bajo,68 opiniones,14.9 km,https://www.tripadvisor.es/Restaurant_Review-g1063671-d4582795-Reviews-Gagos_Pizza-San_Fernando_de_Henares.html
Larepera,Bares y pubs,Bajo,56 opinionesAbre en 6 minutos,INDUSTRIABAR,https://www.tripadvisor.es/Restaurant_Review-g187514-d14783528-Reviews-Larepera-Madrid.html
Artemisa Sol-Gran Via,Mediterránea,Medio,387 opinionesCierra en 6 minutos,PARA REPETIR COMIDA MUY BUENA,https://www.tripadvisor.es/Restaurant_Review-g187514-d3568628-Reviews-Artemisa_Sol_Gran_Via-Madrid.html
Restaurante Chulla Ville,Mediterránea,Medio,59 opiniones,El mejor de la zona con diferencia,https://www.tripadvisor.es/Restaurant_Review-g187514-d23109805-Reviews-Restaurante_Chulla_Ville-Madrid.html
Noi Due Ristorante Pizzeria,Italiana,Medio,193 opinionesCierra en 6 minutos,Nuestro Italiano favorito,https://www.tripadvisor.es/Restaurant_Review-g187514-d10342487-Reviews-Noi_Due_Ristorante_Pizzeria-Madrid.html
Asador Avelino,Restaurante de carne,Medio,310 opiniones,Mejor cochinillo de Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599917-Reviews-Asador_Avelino-Madrid.html
La Carbonera,Mediterránea,Medio,288 opiniones,Muy bien sitio,https://www.tripadvisor.es/Restaurant_Review-g187514-d8101133-Reviews-La_Carbonera-Madrid.html
Casa Benigna,Mediterránea,Alto,959 opiniones,Arroces y socarras en paelleras especialmente diseñadas.,https://www.tripadvisor.es/Restaurant_Review-g187514-d991647-Reviews-Casa_Benigna-Madrid.html
Trattoria Adriana,Italiana,Bajo,42 opinionesCierra en 6 minutos,Maravilloso,https://www.tripadvisor.es/Restaurant_Review-g187514-d17788329-Reviews-Trattoria_Adriana-Madrid.html
Pez Tortilla,Pub con cerveza artesanal,Bajo,219 opiniones,"Recomendable, bar animado perfecto para un alto en el camino.",https://www.tripadvisor.es/Restaurant_Review-g187514-d12879541-Reviews-Pez_Tortilla-Madrid.html
Wok Garden Parrilla,China,Medio,74 opiniones,14.3 km,https://www.tripadvisor.es/Restaurant_Review-g562646-d12160508-Reviews-Wok_Garden_Parrilla-Alcorcon.html
Mu! El Placer De La Carne,Restaurante de carne,Medio,2968 opiniones,Encantador,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html
Hot Now,Italiana,Medio,150 opinionesCierra en 6 minutos,Muy muy bien,https://www.tripadvisor.es/Restaurant_Review-g187514-d14005781-Reviews-Hot_Now-Madrid.html
Mercado de San Miguel,Bar,Medio,34.374 opiniones,El Mercado!,https://www.tripadvisor.es/Restaurant_Review-g187514-d6367286-Reviews-Mercado_de_San_Miguel-Madrid.html
La Bella Anna,Italiana,Medio,243 opiniones,LUGAR AGRADABLE PARA COMER,https://www.tripadvisor.es/Restaurant_Review-g187514-d4420134-Reviews-La_Bella_Anna-Madrid.html
Restaurante Marina Ventura,Marisco,Medio,1595 opiniones,Paella increíble,https://www.tripadvisor.es/Restaurant_Review-g187514-d988061-Reviews-Restaurante_Marina_Ventura-Madrid.html
desengaño13,Mediterránea,Medio,421 opiniones,Raciones y charla,https://www.tripadvisor.es/Restaurant_Review-g187514-d4473807-Reviews-Desengano13-Madrid.html
Los Montes de Galicia,Internacional,Medio,11.477 opinionesCierra en 6 minutos,Super experiencia,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html
GO!Sushing Getafe,Japonesa,Medio,22 opinionesCierra en 6 minutos,11.3 km,https://www.tripadvisor.es/Restaurant_Review-g562652-d17815046-Reviews-GO_Sushing_Getafe-Getafe.html
Casa Jaguar Madrid,Mexicana,Medio,699 opiniones,5✨✨✨✨✨,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html
Aura Cafe,Café,Medio,29 opiniones,Personal muy agradable,https://www.tripadvisor.es/Restaurant_Review-g187514-d21326678-Reviews-Aura_Cafe-Madrid.html
Le Coq Atocha,Francesa,Medio,114 opiniones,Muy bueno!,https://www.tripadvisor.es/Restaurant_Review-g187514-d23219397-Reviews-Le_Coq_Atocha-Madrid.html
Cafeteria HD,Bar,Medio,692 opiniones,Ahí sigue,https://www.tripadvisor.es/Restaurant_Review-g187514-d1888298-Reviews-Cafeteria_HD-Madrid.html
Casa Macareno,Mediterránea,Medio,424 opiniones,Volveré para probar la ensaladilla,https://www.tripadvisor.es/Restaurant_Review-g187514-d10207125-Reviews-Casa_Macareno-Madrid.html
Oter Epicure,Mediterránea,Medio,407 opiniones,"MUY BUEN SITIO PARA COMER A UN PRECIO RAZONABLE,PERO NO CUMPLEN COVID",https://www.tripadvisor.es/Restaurant_Review-g187514-d990871-Reviews-Oter_Epicure-Madrid.html
Xiaolongkan Hot Pot,China,Medio,35 opiniones,Un viaje a China sin salir de Madrid!!,https://www.tripadvisor.es/Restaurant_Review-g187514-d23482816-Reviews-Xiaolongkan_Hot_Pot-Madrid.html
Panaria,Café y té,Medio,42 opiniones,Atención cuidada,https://www.tripadvisor.es/Restaurant_Review-g187514-d15536004-Reviews-Panaria-Madrid.html
MY Pasta Room,Italiana€€ - €€€,Medio,47 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d22928361-Reviews-MY_Pasta-Madrid.html
Pizzeria Fratelli Figurato,Italiana,Bajo,320 opiniones,"Bueno, pero puede mejorar",https://www.tripadvisor.es/Restaurant_Review-g187514-d13226335-Reviews-Pizzeria_Fratelli_Figurato-Madrid.html
Everest Curry House,India,Medio,23 opiniones,Genial,https://www.tripadvisor.es/Restaurant_Review-g187514-d19444225-Reviews-Everest_Curry_House-Madrid.html
Da Nicola Gran Vía,Italiana,Medio,824 opiniones,De lo menor cerca de La Plaza España,https://www.tripadvisor.es/Restaurant_Review-g187514-d2103897-Reviews-Da_Nicola-Madrid.html
That's Amore,Italiana,Medio,55 opiniones,Las mejores pizzas de Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d16857286-Reviews-That_s_Amore-Madrid.html
Alduccio,Italiana,Medio,220 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d991728-Reviews-Alduccio-Madrid.html
Restaurante La Vanduca,Mediterránea,Medio,342 opiniones,"Croquetas, ensaladas y tortilla",https://www.tripadvisor.es/Restaurant_Review-g187514-d8015602-Reviews-Restaurante_La_Vanduca-Madrid.html
Pans & Company,Café,Bajo,28 opiniones,Buenos bocadillos,https://www.tripadvisor.es/Restaurant_Review-g187514-d15355288-Reviews-Pans_Company-Madrid.html
Trattoria In Crescendo,Italiana,Medio,175 opiniones,Buenas pizzas,https://www.tripadvisor.es/Restaurant_Review-g187514-d3977134-Reviews-Trattoria_In_Crescendo-Madrid.html
Fasfú Burguers,Postres,Bajo,79 opiniones,Comida Rápida,https://www.tripadvisor.es/Restaurant_Review-g187514-d24023408-Reviews-Fasfu_Burguers-Madrid.html
MEGU,China,Medio,129 opiniones,UN ASIÁTICO DE CONFIANZA,https://www.tripadvisor.es/Restaurant_Review-g187514-d8559989-Reviews-Megu-Madrid.html
Fratelli d'italia Lavapiés,Italiana,Bajo,198 opiniones,Un viaje a Italia sin salir de Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d5509621-Reviews-Fratelli_d_italia_Lavapies-Madrid.html
La Taberna de Francesco,Italiana,Bajo,55 opiniones,"Voy prácticamente todos los días;Francesco y Sara son como familia,el trato es inmejorable y la comida espectacular.",https://www.tripadvisor.es/Restaurant_Review-g187514-d15634778-Reviews-La_Taberna_de_Francesco-Madrid.html
Bowlers Kitchen,India,Medio,49 opiniones,Good Vibes Delivery 🛵🥗,https://www.tripadvisor.es/Restaurant_Review-g187514-d13369621-Reviews-Bowlers_Kitchen-Madrid.html
El Brasero de Don Pedro,Restaurante de carne,Alto,847 opiniones,Mucho más de lo que esperaba,https://www.tripadvisor.es/Restaurant_Review-g187514-d1060299-Reviews-El_Brasero_de_Don_Pedro-Madrid.html
nonsolocaffé,Italiana,Medio,192 opiniones,Auténtica comida italiana,https://www.tripadvisor.es/Restaurant_Review-g187514-d1437919-Reviews-Nonsolocaffe-Madrid.html
Solito Taqueria,Mexicana€€ - €€€Carta,Medio,54 opiniones,Cocina mexicana con cariño.,https://www.tripadvisor.es/Restaurant_Review-g187514-d21359891-Reviews-Solito_Taqueria_Mexicana-Madrid.html
Restaurante La Rita,Internacional,Medio,40 opiniones,Comida grupo fenomenal,https://www.tripadvisor.es/Restaurant_Review-g187514-d23685071-Reviews-Restaurante_La_Rita-Madrid.html
Asia Te,China,Medio,163 opiniones,Buenísimo,https://www.tripadvisor.es/Restaurant_Review-g187514-d2096546-Reviews-Asia_Te-Madrid.html
Diaz y Larrouy,Mediterránea,Medio,136 opiniones,"Una pena, se alquila",https://www.tripadvisor.es/Restaurant_Review-g187514-d2076093-Reviews-Diaz_y_Larrouy-Madrid.html
Mad by Robleño,Mediterránea,Medio,35 opiniones,Para repetir.,https://www.tripadvisor.es/Restaurant_Review-g187514-d18931308-Reviews-Mad_by_Robleno-Madrid.html
El Cunzato,Italiana,Bajo,31 opiniones,¡Gran descubrimiento!,https://www.tripadvisor.es/Restaurant_Review-g187514-d24170396-Reviews-El_Cunzato-Madrid.html
Crudo,Mediterránea,Medio,13 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d23149706-Reviews-Crudo-Madrid.html
La Lonja Restaurante,Marisco,Medio,550 opiniones,Agradable sitio en un lugar privilegiado,https://www.tripadvisor.es/Restaurant_Review-g187514-d8129022-Reviews-La_Lonja_Restaurante-Madrid.html
Federica By Chef Oswaldo Sanchez,Italiana,Medio,72 opiniones,BUENÍSIMO,https://www.tripadvisor.es/Restaurant_Review-g187514-d13122400-Reviews-Federica_By_Chef_Oswaldo_Sanchez-Madrid.html
